@productId 1514842  @averageScore 5  @beginRowNumber 0  @goodRate 0.952  @poorRateShow 2  @generalRateStyle 4  @poorRate 0.024  @goodRateShow 96  @generalRate 0.024  @generalRateShow 2  @goodRateStyle 142  @skuId 1514842  @score5Count 33773  @score4Count 1727  @poorRateStyle 4  @goodCount 35500  @poorCount 933  @score1Count 933  @score3Count 659  @commentCount 37337  @showCount 4103  @generalCount 904  @endRowNumber 0  @score2Count 245
@productId 2868393  @averageScore 5  @beginRowNumber 0  @goodRate 0.949  @poorRateShow 2  @generalRateStyle 4  @poorRate 0.022  @goodRateShow 95  @generalRate 0.029  @generalRateShow 3  @goodRateStyle 143  @skuId 2868393  @score5Count 17105  @score4Count 1070  @poorRateStyle 3  @goodCount 18175  @poorCount 437  @score1Count 437  @score3Count 426  @commentCount 19184  @showCount 4292  @generalCount 572  @endRowNumber 0  @score2Count 146
@productId 2384566  @averageScore 5  @beginRowNumber 0  @goodRate 0.962  @poorRateShow 2  @generalRateStyle 3  @poorRate 0.021  @goodRateShow 96  @generalRate 0.017  @generalRateShow 2  @goodRateStyle 144  @skuId 2384566  @score5Count 54733  @score4Count 1998  @poorRateStyle 3  @goodCount 56731  @poorCount 1282  @score1Count 1282  @score3Count 727  @commentCount 59073  @showCount 17316  @generalCount 1060  @endRowNumber 0  @score2Count 333
@productId 1036986595  @averageScore 5  @beginRowNumber 0  @goodRate 0.896  @poorRateShow 4  @generalRateStyle 9  @poorRate 0.044  @goodRateShow 90  @generalRate 0.06  @generalRateShow 6  @goodRateStyle 134  @skuId 1036986595  @score5Count 12535  @score4Count 1309  @poorRateStyle 7  @goodCount 13844  @poorCount 682  @score1Count 682  @score3Count 664  @commentCount 15462  @showCount 795  @generalCount 936  @endRowNumber 0  @score2Count 272
@productId 10434810542  @averageScore 5  @beginRowNumber 0  @goodRate 0.874  @poorRateShow 6  @generalRateStyle 9  @poorRate 0.063  @goodRateShow 88  @generalRate 0.063  @generalRateShow 6  @goodRateStyle 132  @skuId 10434810542  @score5Count 79  @score4Count 4  @poorRateStyle 9  @goodCount 83  @poorCount 6  @score1Count 6  @score3Count 4  @commentCount 95  @showCount 33  @generalCount 6  @endRowNumber 0  @score2Count 2
@productId 10136675573  @averageScore 5  @beginRowNumber 0  @goodRate 0.905  @poorRateShow 5  @generalRateStyle 6  @poorRate 0.053  @goodRateShow 91  @generalRate 0.042  @generalRateShow 4  @goodRateStyle 136  @skuId 10136675573  @score5Count 1457  @score4Count 88  @poorRateStyle 8  @goodCount 1545  @poorCount 92  @score1Count 92  @score3Count 51  @commentCount 1710  @showCount 332  @generalCount 73  @endRowNumber 0  @score2Count 22
@productId 1806983645  @averageScore 5  @beginRowNumber 0  @goodRate 0.9  @poorRateShow 6  @generalRateStyle 6  @poorRate 0.057  @goodRateShow 90  @generalRate 0.043  @generalRateShow 4  @goodRateStyle 135  @skuId 1806983645  @score5Count 508  @score4Count 26  @poorRateStyle 9  @goodCount 534  @poorCount 34  @score1Count 34  @score3Count 15  @commentCount 594  @showCount 116  @generalCount 26  @endRowNumber 0  @score2Count 11
@productId 10024165683  @averageScore 5  @beginRowNumber 0  @goodRate 0.95  @poorRateShow 2  @generalRateStyle 4  @poorRate 0.021  @goodRateShow 95  @generalRate 0.029  @generalRateShow 3  @goodRateStyle 143  @skuId 10024165683  @score5Count 5502  @score4Count 410  @poorRateStyle 3  @goodCount 5912  @poorCount 133  @score1Count 133  @score3Count 125  @commentCount 6226  @showCount 635  @generalCount 181  @endRowNumber 0  @score2Count 56
@productId 10395556565  @averageScore 5  @beginRowNumber 0  @goodRate 0.966  @poorRateShow 2  @generalRateStyle 2  @poorRate 0.022  @goodRateShow 97  @generalRate 0.012  @generalRateShow 1  @goodRateStyle 145  @skuId 10395556565  @score5Count 546  @score4Count 7  @poorRateStyle 3  @goodCount 553  @poorCount 13  @score1Count 13  @score3Count 6  @commentCount 573  @showCount 238  @generalCount 7  @endRowNumber 0  @score2Count 1
@productId 10364854811  @averageScore 5  @beginRowNumber 0  @goodRate 0.96  @poorRateShow 1  @generalRateStyle 4  @poorRate 0.013  @goodRateShow 96  @generalRate 0.027  @generalRateShow 3  @goodRateStyle 144  @skuId 10364854811  @score5Count 66  @score4Count 3  @poorRateStyle 2  @goodCount 69  @poorCount 1  @score1Count 1  @score3Count 1  @commentCount 72  @showCount 4  @generalCount 2  @endRowNumber 0  @score2Count 1
